iteration,elapsed_time,cost_loss,nu_loss,actor_loss,anti_expert_nu,unlabeled_nu,init_nu,unlabeled_adv,anti_expert_adv,unlabeled_weight,anti_expert_weight,unlabeled_min_weight,unlabeled_max_weight,anti_expert_min_weight,anti_expert_max_weight,unlabeled_reward,anti_expert_reward,alpha,eval_return,eval_cost,CVar50,CVar20,CVar10,CVar5
0,1150.2382559776306,"tf.Tensor(1.253416, shape=(), dtype=float32)","tf.Tensor(8.1162, shape=(), dtype=float32)","tf.Tensor(26.42466, shape=(), dtype=float32)","tf.Tensor(-1.2915927, shape=(), dtype=float32)","tf.Tensor(-1.3145965, shape=(), dtype=float32)","tf.Tensor(-1.7242972, shape=(), dtype=float32)","tf.Tensor(-0.13770631, shape=(), dtype=float32)","tf.Tensor(-0.20235084, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(1.6054471e-05, shape=(), dtype=float32)","tf.Tensor(64.18327, shape=(), dtype=float32)","tf.Tensor(0.001905089, shape=(), dtype=float32)","tf.Tensor(43.328648, shape=(), dtype=float32)","tf.Tensor(-0.038164023, shape=(), dtype=float32)","tf.Tensor(-0.14021836, shape=(), dtype=float32)",0.2688682215118408,-0.43639856125377413,45.152,88.3,147.71,198.62,247.32
10000,1846.9691989421844,"tf.Tensor(1.2538608, shape=(), dtype=float32)","tf.Tensor(6.513408, shape=(), dtype=float32)","tf.Tensor(-14.130053, shape=(), dtype=float32)","tf.Tensor(-5.665375, shape=(), dtype=float32)","tf.Tensor(-5.354221, shape=(), dtype=float32)","tf.Tensor(-13.237684, shape=(), dtype=float32)","tf.Tensor(0.03172887, shape=(), dtype=float32)","tf.Tensor(-0.079783306, shape=(), dtype=float32)","tf.Tensor(0.9999998, shape=(), dtype=float32)","tf.Tensor(1.0000001, shape=(), dtype=float32)","tf.Tensor(0.0015490886, shape=(), dtype=float32)","tf.Tensor(3.853057, shape=(), dtype=float32)","tf.Tensor(0.26669332, shape=(), dtype=float32)","tf.Tensor(2.5067868, shape=(), dtype=float32)","tf.Tensor(-0.012829252, shape=(), dtype=float32)","tf.Tensor(-0.1213271, shape=(), dtype=float32)",0.2688682215118408,6.296706528636356,77.672,134.208,193.28,228.72,262.88
20000,2510.5542483329773,"tf.Tensor(1.2350026, shape=(), dtype=float32)","tf.Tensor(6.5779214, shape=(), dtype=float32)","tf.Tensor(-14.109621, shape=(), dtype=float32)","tf.Tensor(-6.1203046, shape=(), dtype=float32)","tf.Tensor(-5.124507, shape=(), dtype=float32)","tf.Tensor(-14.221909, shape=(), dtype=float32)","tf.Tensor(0.06674085, shape=(), dtype=float32)","tf.Tensor(-0.061735965, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(0.008022613, shape=(), dtype=float32)","tf.Tensor(10.29663, shape=(), dtype=float32)","tf.Tensor(0.13401462, shape=(), dtype=float32)","tf.Tensor(2.223393, shape=(), dtype=float32)","tf.Tensor(-0.005207443, shape=(), dtype=float32)","tf.Tensor(-0.1431356, shape=(), dtype=float32)",0.2688682215118408,11.857273268371081,60.264,105.268,155.47,186.7,217.36
30000,3179.306715965271,"tf.Tensor(1.2578113, shape=(), dtype=float32)","tf.Tensor(6.4591837, shape=(), dtype=float32)","tf.Tensor(-15.112811, shape=(), dtype=float32)","tf.Tensor(-3.819822, shape=(), dtype=float32)","tf.Tensor(-3.3923378, shape=(), dtype=float32)","tf.Tensor(-14.375634, shape=(), dtype=float32)","tf.Tensor(-0.025328934, shape=(), dtype=float32)","tf.Tensor(-0.11390755, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0020985052, shape=(), dtype=float32)","tf.Tensor(4.5854087, shape=(), dtype=float32)","tf.Tensor(0.10161272, shape=(), dtype=float32)","tf.Tensor(38.909664, shape=(), dtype=float32)","tf.Tensor(-0.06572848, shape=(), dtype=float32)","tf.Tensor(-0.1327881, shape=(), dtype=float32)",0.2688682215118408,15.926077155497088,47.772,80.86,114.14,135.34,158.88
40000,3883.079269886017,"tf.Tensor(1.220799, shape=(), dtype=float32)","tf.Tensor(6.5124745, shape=(), dtype=float32)","tf.Tensor(-14.324083, shape=(), dtype=float32)","tf.Tensor(-2.812455, shape=(), dtype=float32)","tf.Tensor(-1.7480996, shape=(), dtype=float32)","tf.Tensor(-15.058101, shape=(), dtype=float32)","tf.Tensor(0.07985284, shape=(), dtype=float32)","tf.Tensor(-0.104152955, shape=(), dtype=float32)","tf.Tensor(0.9999999, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(0.010732401, shape=(), dtype=float32)","tf.Tensor(3.7953448, shape=(), dtype=float32)","tf.Tensor(0.011352244, shape=(), dtype=float32)","tf.Tensor(2.7546182, shape=(), dtype=float32)","tf.Tensor(0.03705341, shape=(), dtype=float32)","tf.Tensor(-0.14701016, shape=(), dtype=float32)",0.2688682215118408,18.00347686921004,44.294,72.796,99.55,115.66,127.88
50000,4589.850284576416,"tf.Tensor(1.2263345, shape=(), dtype=float32)","tf.Tensor(6.568387, shape=(), dtype=float32)","tf.Tensor(-14.880743, shape=(), dtype=float32)","tf.Tensor(-0.7863884, shape=(), dtype=float32)","tf.Tensor(0.17360467, shape=(), dtype=float32)","tf.Tensor(-16.198221, shape=(), dtype=float32)","tf.Tensor(0.11697495, shape=(), dtype=float32)","tf.Tensor(-0.103679635, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(1.0000001, shape=(), dtype=float32)","tf.Tensor(0.003210299, shape=(), dtype=float32)","tf.Tensor(12.377905, shape=(), dtype=float32)","tf.Tensor(0.0034035048, shape=(), dtype=float32)","tf.Tensor(9.923694, shape=(), dtype=float32)","tf.Tensor(0.089987606, shape=(), dtype=float32)","tf.Tensor(-0.12953533, shape=(), dtype=float32)",0.2688682215118408,18.71199944120216,40.912,69.04,96.78,114.6,132.2
60000,5285.75030374527,"tf.Tensor(1.2457094, shape=(), dtype=float32)","tf.Tensor(6.4786973, shape=(), dtype=float32)","tf.Tensor(-14.625394, shape=(), dtype=float32)","tf.Tensor(2.085925, shape=(), dtype=float32)","tf.Tensor(2.7992077, shape=(), dtype=float32)","tf.Tensor(-16.574635, shape=(), dtype=float32)","tf.Tensor(0.041643832, shape=(), dtype=float32)","tf.Tensor(-0.13610877, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0029592318, shape=(), dtype=float32)","tf.Tensor(5.8745017, shape=(), dtype=float32)","tf.Tensor(0.055581562, shape=(), dtype=float32)","tf.Tensor(4.8489227, shape=(), dtype=float32)","tf.Tensor(-0.006405879, shape=(), dtype=float32)","tf.Tensor(-0.13714953, shape=(), dtype=float32)",0.2688682215118408,18.795612075123717,39.516,66.024,95.03,112.94,128.6
70000,5954.444899559021,"tf.Tensor(1.2333233, shape=(), dtype=float32)","tf.Tensor(6.4396005, shape=(), dtype=float32)","tf.Tensor(-15.044758, shape=(), dtype=float32)","tf.Tensor(4.151659, shape=(), dtype=float32)","tf.Tensor(5.174452, shape=(), dtype=float32)","tf.Tensor(-18.470133, shape=(), dtype=float32)","tf.Tensor(-0.05383362, shape=(), dtype=float32)","tf.Tensor(-0.12271162, shape=(), dtype=float32)","tf.Tensor(1.0000001, shape=(), dtype=float32)","tf.Tensor(0.9999999, shape=(), dtype=float32)","tf.Tensor(0.0002889922, shape=(), dtype=float32)","tf.Tensor(5.382721, shape=(), dtype=float32)","tf.Tensor(0.12033755, shape=(), dtype=float32)","tf.Tensor(15.699247, shape=(), dtype=float32)","tf.Tensor(-0.03280382, shape=(), dtype=float32)","tf.Tensor(-0.1429108, shape=(), dtype=float32)",0.2688682215118408,19.13775984714513,36.508,60.736,82.88,97.62,109.92
80000,6674.896053314209,"tf.Tensor(1.2432022, shape=(), dtype=float32)","tf.Tensor(6.4952555, shape=(), dtype=float32)","tf.Tensor(-13.870756, shape=(), dtype=float32)","tf.Tensor(4.853556, shape=(), dtype=float32)","tf.Tensor(4.9442616, shape=(), dtype=float32)","tf.Tensor(-19.620584, shape=(), dtype=float32)","tf.Tensor(0.013439032, shape=(), dtype=float32)","tf.Tensor(-0.16955851, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(0.0027363994, shape=(), dtype=float32)","tf.Tensor(25.106401, shape=(), dtype=float32)","tf.Tensor(6.646597e-05, shape=(), dtype=float32)","tf.Tensor(4.007372, shape=(), dtype=float32)","tf.Tensor(0.024749069, shape=(), dtype=float32)","tf.Tensor(-0.12596717, shape=(), dtype=float32)",0.2688682215118408,18.9929780502909,33.656,58.016,82.37,96.54,108.8
90000,7339.691121578217,"tf.Tensor(1.2403058, shape=(), dtype=float32)","tf.Tensor(6.3615894, shape=(), dtype=float32)","tf.Tensor(-15.495565, shape=(), dtype=float32)","tf.Tensor(4.429739, shape=(), dtype=float32)","tf.Tensor(5.099487, shape=(), dtype=float32)","tf.Tensor(-21.132248, shape=(), dtype=float32)","tf.Tensor(-0.0574544, shape=(), dtype=float32)","tf.Tensor(-0.14812712, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(0.007665905, shape=(), dtype=float32)","tf.Tensor(16.65167, shape=(), dtype=float32)","tf.Tensor(0.028603448, shape=(), dtype=float32)","tf.Tensor(93.64288, shape=(), dtype=float32)","tf.Tensor(-0.01407244, shape=(), dtype=float32)","tf.Tensor(-0.14806417, shape=(), dtype=float32)",0.2688682215118408,19.175433541405763,33.63,57.512,82.82,99.3,112.52
