iteration,elapsed_time,cost_loss,nu_loss,actor_loss,anti_expert_nu,unlabeled_nu,init_nu,unlabeled_adv,anti_expert_adv,unlabeled_weight,anti_expert_weight,unlabeled_min_weight,unlabeled_max_weight,anti_expert_min_weight,anti_expert_max_weight,unlabeled_reward,anti_expert_reward,alpha,eval_return,eval_cost,CVar50,CVar20,CVar10,CVar5
0,1180.427878856659,"tf.Tensor(1.1778646, shape=(), dtype=float32)","tf.Tensor(7.504501, shape=(), dtype=float32)","tf.Tensor(11586.431, shape=(), dtype=float32)","tf.Tensor(3.6710596, shape=(), dtype=float32)","tf.Tensor(3.6401367, shape=(), dtype=float32)","tf.Tensor(3.0378883, shape=(), dtype=float32)","tf.Tensor(0.031123081, shape=(), dtype=float32)","tf.Tensor(-0.083865024, shape=(), dtype=float32)","tf.Tensor(1.0000001, shape=(), dtype=float32)","tf.Tensor(1.0000001, shape=(), dtype=float32)","tf.Tensor(7.226234e-05, shape=(), dtype=float32)","tf.Tensor(37.26351, shape=(), dtype=float32)","tf.Tensor(0.0028296553, shape=(), dtype=float32)","tf.Tensor(26.2153, shape=(), dtype=float32)","tf.Tensor(0.028216556, shape=(), dtype=float32)","tf.Tensor(-0.13173503, shape=(), dtype=float32)",0.19003750251770019,-0.3470678928579093,25.382,50.764,123.79,194.26,259.76
10000,1935.3704090118408,"tf.Tensor(1.1845921, shape=(), dtype=float32)","tf.Tensor(6.589419, shape=(), dtype=float32)","tf.Tensor(-12.156717, shape=(), dtype=float32)","tf.Tensor(6.589817, shape=(), dtype=float32)","tf.Tensor(7.5581193, shape=(), dtype=float32)","tf.Tensor(1.6807163, shape=(), dtype=float32)","tf.Tensor(-0.08026503, shape=(), dtype=float32)","tf.Tensor(-0.1859951, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0014452338, shape=(), dtype=float32)","tf.Tensor(20.773417, shape=(), dtype=float32)","tf.Tensor(0.18669014, shape=(), dtype=float32)","tf.Tensor(6.758324, shape=(), dtype=float32)","tf.Tensor(-0.009432101, shape=(), dtype=float32)","tf.Tensor(-0.124885745, shape=(), dtype=float32)",0.19003750251770019,-11.039398353342312,6.782,13.564,25.92,32.84,40.76
20000,2684.8946912288666,"tf.Tensor(1.2071613, shape=(), dtype=float32)","tf.Tensor(6.507173, shape=(), dtype=float32)","tf.Tensor(-12.943655, shape=(), dtype=float32)","tf.Tensor(6.4497886, shape=(), dtype=float32)","tf.Tensor(7.693539, shape=(), dtype=float32)","tf.Tensor(0.1561536, shape=(), dtype=float32)","tf.Tensor(-0.07903595, shape=(), dtype=float32)","tf.Tensor(-0.12836252, shape=(), dtype=float32)","tf.Tensor(1.0000001, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(0.00039874832, shape=(), dtype=float32)","tf.Tensor(7.3178105, shape=(), dtype=float32)","tf.Tensor(0.23974201, shape=(), dtype=float32)","tf.Tensor(13.736672, shape=(), dtype=float32)","tf.Tensor(-0.032322526, shape=(), dtype=float32)","tf.Tensor(-0.115611516, shape=(), dtype=float32)",0.19003750251770019,2.4060195947255023,84.706,131.34,177.25,208.28,236.4
30000,3420.287050485611,"tf.Tensor(1.1991037, shape=(), dtype=float32)","tf.Tensor(6.489118, shape=(), dtype=float32)","tf.Tensor(-13.516119, shape=(), dtype=float32)","tf.Tensor(5.905419, shape=(), dtype=float32)","tf.Tensor(7.558978, shape=(), dtype=float32)","tf.Tensor(-1.4164735, shape=(), dtype=float32)","tf.Tensor(-0.10636073, shape=(), dtype=float32)","tf.Tensor(-0.15060282, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0027324285, shape=(), dtype=float32)","tf.Tensor(8.989919, shape=(), dtype=float32)","tf.Tensor(0.22970246, shape=(), dtype=float32)","tf.Tensor(2.6977537, shape=(), dtype=float32)","tf.Tensor(-0.014344111, shape=(), dtype=float32)","tf.Tensor(-0.1138321, shape=(), dtype=float32)",0.19003750251770019,10.792468234631473,67.172,113.996,162.32,189.42,207.8
40000,4148.61886715889,"tf.Tensor(1.2054772, shape=(), dtype=float32)","tf.Tensor(6.473583, shape=(), dtype=float32)","tf.Tensor(-13.898274, shape=(), dtype=float32)","tf.Tensor(5.083229, shape=(), dtype=float32)","tf.Tensor(6.247637, shape=(), dtype=float32)","tf.Tensor(-3.9185412, shape=(), dtype=float32)","tf.Tensor(-0.07249858, shape=(), dtype=float32)","tf.Tensor(-0.13006322, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0032500103, shape=(), dtype=float32)","tf.Tensor(3.1969187, shape=(), dtype=float32)","tf.Tensor(0.21611811, shape=(), dtype=float32)","tf.Tensor(4.1676683, shape=(), dtype=float32)","tf.Tensor(-0.0113847805, shape=(), dtype=float32)","tf.Tensor(-0.11893992, shape=(), dtype=float32)",0.19003750251770019,14.704720483677317,49.872,83.416,117.48,140.72,158.08
50000,4893.34951710701,"tf.Tensor(1.1892709, shape=(), dtype=float32)","tf.Tensor(6.542242, shape=(), dtype=float32)","tf.Tensor(-12.602643, shape=(), dtype=float32)","tf.Tensor(4.3330827, shape=(), dtype=float32)","tf.Tensor(5.346053, shape=(), dtype=float32)","tf.Tensor(-5.6853075, shape=(), dtype=float32)","tf.Tensor(-0.039377037, shape=(), dtype=float32)","tf.Tensor(-0.16787556, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(1.0000001, shape=(), dtype=float32)","tf.Tensor(0.0015818111, shape=(), dtype=float32)","tf.Tensor(21.535645, shape=(), dtype=float32)","tf.Tensor(0.0721363, shape=(), dtype=float32)","tf.Tensor(2.6823068, shape=(), dtype=float32)","tf.Tensor(-0.0034271628, shape=(), dtype=float32)","tf.Tensor(-0.12041438, shape=(), dtype=float32)",0.19003750251770019,16.591120437024166,38.548,66.452,97.75,117.38,134.0
60000,6048.940531730652,"tf.Tensor(1.1870165, shape=(), dtype=float32)","tf.Tensor(6.45139, shape=(), dtype=float32)","tf.Tensor(-13.434463, shape=(), dtype=float32)","tf.Tensor(3.656588, shape=(), dtype=float32)","tf.Tensor(4.8821154, shape=(), dtype=float32)","tf.Tensor(-7.0841837, shape=(), dtype=float32)","tf.Tensor(-0.05852984, shape=(), dtype=float32)","tf.Tensor(-0.17038473, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(0.008093477, shape=(), dtype=float32)","tf.Tensor(10.29018, shape=(), dtype=float32)","tf.Tensor(0.14784853, shape=(), dtype=float32)","tf.Tensor(4.1004443, shape=(), dtype=float32)","tf.Tensor(0.004367099, shape=(), dtype=float32)","tf.Tensor(-0.124182574, shape=(), dtype=float32)",0.19003750251770019,17.327016305869606,36.832,62.54,86.88,103.6,118.8
70000,7672.776063919067,"tf.Tensor(1.1920351, shape=(), dtype=float32)","tf.Tensor(6.479693, shape=(), dtype=float32)","tf.Tensor(-13.838719, shape=(), dtype=float32)","tf.Tensor(2.8710222, shape=(), dtype=float32)","tf.Tensor(4.52604, shape=(), dtype=float32)","tf.Tensor(-9.229498, shape=(), dtype=float32)","tf.Tensor(-0.020317435, shape=(), dtype=float32)","tf.Tensor(-0.14758432, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.007234677, shape=(), dtype=float32)","tf.Tensor(4.5338607, shape=(), dtype=float32)","tf.Tensor(0.0013272311, shape=(), dtype=float32)","tf.Tensor(4.852018, shape=(), dtype=float32)","tf.Tensor(-0.0011953637, shape=(), dtype=float32)","tf.Tensor(-0.12418379, shape=(), dtype=float32)",0.19003750251770019,17.982309000324996,32.212,55.056,76.05,89.3,101.88
80000,8482.681944608688,"tf.Tensor(1.1792476, shape=(), dtype=float32)","tf.Tensor(6.496661, shape=(), dtype=float32)","tf.Tensor(-12.606891, shape=(), dtype=float32)","tf.Tensor(3.3888273, shape=(), dtype=float32)","tf.Tensor(4.8674145, shape=(), dtype=float32)","tf.Tensor(-10.057003, shape=(), dtype=float32)","tf.Tensor(-0.020361101, shape=(), dtype=float32)","tf.Tensor(-0.17647487, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(0.9999999, shape=(), dtype=float32)","tf.Tensor(0.012450219, shape=(), dtype=float32)","tf.Tensor(14.177909, shape=(), dtype=float32)","tf.Tensor(0.024072535, shape=(), dtype=float32)","tf.Tensor(9.560516, shape=(), dtype=float32)","tf.Tensor(0.02244788, shape=(), dtype=float32)","tf.Tensor(-0.1290236, shape=(), dtype=float32)",0.19003750251770019,18.130443781263413,31.856,54.66,79.4,95.5,109.48
90000,9307.114212036133,"tf.Tensor(1.1918352, shape=(), dtype=float32)","tf.Tensor(6.4467764, shape=(), dtype=float32)","tf.Tensor(-13.427418, shape=(), dtype=float32)","tf.Tensor(3.6057835, shape=(), dtype=float32)","tf.Tensor(5.43828, shape=(), dtype=float32)","tf.Tensor(-11.658532, shape=(), dtype=float32)","tf.Tensor(-0.055528563, shape=(), dtype=float32)","tf.Tensor(-0.13564804, shape=(), dtype=float32)","tf.Tensor(0.9999999, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.00017661709, shape=(), dtype=float32)","tf.Tensor(3.6869364, shape=(), dtype=float32)","tf.Tensor(0.011295069, shape=(), dtype=float32)","tf.Tensor(7.8136506, shape=(), dtype=float32)","tf.Tensor(-0.017781444, shape=(), dtype=float32)","tf.Tensor(-0.11678569, shape=(), dtype=float32)",0.19003750251770019,18.467272122880324,31.338,54.48,76.8,91.18,105.4
